code,title,credit,description
AMT 165,Cabin Atmosphere Control Systems,2,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 166,"Fire, Ice & Rain Control",1,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 167,Aircraft Welding,1,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 172,"Communication, Navigation, & Instruments",2,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 179,Aircraft Sheet Metal & Non-Metallic Structures,8,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 182,Aircraft Coverings and Finishes,2,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 186,Airframe Review & Test,2,Description Upon completion of the Airframe curriculum this course is designed to prepare the
AMT 187,General I,4,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 188,General II,4,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 189,General III,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 190,General IV,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 200,Reciprocating Engines,7,"Description This course is designed to develop safety practices, comprehensive knowledge and"
AMT 210,Engine Fuel Systems,3,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 212,"Engine Ignition, Starting and Electrical Systems",5,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 213,Engine Lubrication Systems,2,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 218,Engine Airflow and Fire Protection Systems,3,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 224,Engine Maintenance and Operation,5,"Description This course is designed to develop correct safety practices, comprehensive"
AMT 227,Turbine Engines,6,"Description This course is designed to develop safety practices, comprehensive knowledge and"
AMT 231,Powerplant Review & Test,2,Description Upon completion of the Power plant curriculum this course is designed to prepare
AMT 233,Airframe I,4,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 234,Airframe II,4,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 235,Airframe III,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 236,Airframe IV,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 237,Airframe V,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 238,Airframe VI,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 239,Airframe VII,4,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 251,Accelerated Certification - General/Powerplant,3,Description This review course assists the student in preparation for FAA testing for the
AMT 252,Accelerated Certification - General/Airframe/Powerplant,5,Description This review course assists the student in preparation for FAA testing for the
AMT 253,Powerplant I,4,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 254,Powerplant II,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 255,Powerplant III,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 256,Powerplant IV,6,"Description This course develops correct safety practices, comprehensive knowledge, and"
AMT 257,Powerplant V,5,"Description This course develops correct safety practices, comprehensive knowledge, and"
ART 100,Art Appreciation,3,Description This course is designed to develop a personal appreciation of art. By combining a
BIO 100,Biology Review,1,Description This course is designed to help the students increase their knowledge concerning
BIO 110,Principles of Biology,5,"Description An introduction to fundamental biological concepts that includes molecular biology,"
BIO 120,Environmental Biology,3,Description An interdisciplinary study of the environment investigating how nature works and
BIO 125,Science Prospectus,3,Description An interdisciplinary study of how science influences all aspects of human life.
BIO 130,Biology I,5,"Description A study of the fundamental concepts in cellular and molecular biology, that lead to"
BIO 135,Biology II,5,Description A study of the fundamental concepts of biology as they apply to levels of
BIO 145,Human Anatomy & Physiology I,4,Description This course represents the first of an eight (8) credit hour Anatomy & Physiology
BIO 146,Human Anatomy & Physiology II,4,Description This course represents the second of an eight (8) credit hour Anatomy and
ARU 125,Advanced Assembly,4,Description Provides students with instruction in advanced assembly techniques including
ARU 110,Composite Fabrication,4,Description This course will begin with the fundamentals of composite theory in an interactive
ARU 115,Sheetmetal Assembly,4,"Description Provides instruction in the fundamentals of sheetmetal assembly, meeting set"
ARU 120,Composite Repair I,4,Description This course begins with an understanding of the inspection process during repair
ARU 130,Electrical Assembly,4,Description This course will provide students with hands-on experience with shop grade test
ARU 135,Electronics Basics,4,Description The student will learn methods of construction and repair of avionics system wiring
ARU 140,Composite Repair II,4,Description Students will expand on process an techniques introduced in composite repair I.
ARU 145,Machining Basics,4,"Description Students will learn to identify basic lines, views, and abbreviations used in blueprints,"
ARU 150,Advanced Measuring Instruments,4,"Description In this course, students will learn advanced measuring techniques that allow them to"
ARU 155,Aerospace Paint,4,"Description Students will learn the fundamentals of paint composition, application, and"
ARU 160,Process Mechanic,4,"Description Students will be trained in a variety of process including: masking, grinding,"
ARU 165,Aviation Fundamentals of Quality,4,Description This course is designed to familiarize the students with the concepts and practices of
ARU 170,Aviation Assembly Core,7,"Description In this course, students will engage with the critical aspects of Aviation"
AVC 102,Precision Instruments,1,Description This course provides students with the knowledge and skills needed to utilize
AVC 103,Geometric Dimensioning & Tolerancing,1,Description Provides an understanding of the basic terms and principles of Geometric
AVC 104,Quality Control Concepts,1,Description This course covers quality assurance principles including the history of the quality
AVC 105,Aircraft Familiarization,1,Description This course is designed to provide an introduction to the world of aviation. Using an
AVC 107,Fundamentals for Aerospace Manufacturing,1,Description This course provides an overview of the materials and processes used in
AVC 108,Aircraft Systems & Components,4,Description This course is designed to provide the aviation student with an in-depth knowledge
AVC 110,Safety/OSHA 10,1,Description The 10- Hour General Industry Outreach training Program is intended to provide
AVC 112,Blueprint Reading,2,Description This course is an introduction to reading and interpreting blueprints. Topics include
AVC 117,Hand & Power Tools,4,Course Information
AVC 120,Introduction to Sealing,1,"Description This course provides an introduction to basic sealing principles; including tools,"
AVC 125,Bonding and Grounding,1,"Description This course provides an overview of electrical bonding and grounding theory,"
AVC 127,Aviation Assembly Core,7,Description This course provides students with the core knowledge necessary to be successful
AVC 135,Hand Tools,1,Description This course provides an introduction to the various hand tools used in aerospace
AVC 137,Precision Measuring,2,Description This course provides students with the knowledge and skills needed to utilize
AVC 140,Electrical Bonding & Grounding,1,Description This course provides the specific technical and manufacturing skills and knowledge
AVC 145,Power Island,1,Description This course provides the technical knowledge and skills necessary to operate power
AVC 150,Human Factors,1,Description This course provides students with an overview of the impact of human factors on
AVC 155,Aircraft Manufacturing Advanced Fastening Practices,1,Description This course provides an overview of the knowledge and technical skills required for
AVC 160,Aircraft Control Surface Rigging,1,Description This course provides an overview of the knowledge and technical skills required to
AVC 165,Technical Writing,1,Description This course provides students with an overview of the process used to create
AVC 170,Conflict Resolution,1,Description This course provides the basics of good communication skills. Topics include the
AVC 190,Aerospace Applied Learning,4,Description The Aerospace Applied Learning course represents an educational strategy linking
AVT 101,Electricity & Electronics I,4,Description This course is designed to introduce the student to the fundamental concepts of
AVT 103,Avionics,3,Description This course is designed to give an overview of the entire avionics field. All Major
AVT 105,Avionics Systems & Troubleshooting,5,"Description This course introduces the student to avionics testing and troubleshooting. First,"
AVT 108,Wiring & Cannon Plug Lab,2,Description The student will learn methods of construction and repair of avionics system wiring
AVT 110,"Communication, Navigation & Surveillance Systems I",5,Description This course and its associated laboratory section is the first of two courses which
AVT 112,"Communication, Navigation & Surveillance Systems II",4,Description This course and its associated laboratory section continues the study of typical
AVT 122,Aircraft and Electronics for NCATT Applications,4,Description This class helps student increase the knowledge and skills required to troubleshoot
AVT 131,Electricity and Electronics II,4,Description This course is the continuation of AVT 101 and is designed to introduce the student
AVT 137,Fundamentals of Flight,3,Description The Fundamentals of Flight students will learn the basic forces acting on aircraft in
AVT 145,Troubleshooting Essentials,3,Description The Troubleshooting Essentials course instructs today’s Avionics technicians on a
AVT 150,UAS Operations,3,Description This course is an introduction to small unmanned aircraft systems (UAS) including
AVT 155,Advanced Wiring,3,Description The Advanced Wiring course will instruct students in the fabrication and installation
BIO 150,Human Anatomy & Physiology,5,Description A detailed study of the structure and function of the human body. Laboratory work
BIO 151,Anatomy & Physiology Enhancement,1,Description This course provides for an elaboration of either the anatomy or the physiology of
BIO 160,Microbiology,5,"Description An introduction to microorganisms and their morphology, physiology, genetics and"
CAT 101,CATIA Part Design & Sketcher,4,"Description This course provides an introduction to the 3D EXPERIENCE platform, including"
CAT 102,CATIA Drafting,4,Description This course covers the creation of engineering drawings. Students will be introduced
CAT 103,CATIA 3D Tolerancing & Annotations,4,"Description This course is for those interested in model based definition, where the 3D model is"
CAT 105,CATIA Assembly Design,4,Description This course covers the use of multiple parts to create an assembly. This includes
CAT 110,CATIA Wireframe & Surfaces,4,Description This course is an extension of the part environment which covers the use of
CAT 115,CATIA Prismatic Machining,4,Description This course is the beginning manufacturing course. This course covers the
CAT 120,CATIA ENOVIA LCA,3,Description This course provides students with a thorough background in the Enterprise
CAT 122,CATIA ENOVIA DMU,2,Description This course is intended for students who want to learn to view and analyze CAD
CAT 124,CATIA Surface Machining,3,Description This course is a continuation in the manufacturing environment. This course covers
CCP 100,Introductory Craft Skills,3,Description This course is the Core Curriculum for Introductory Craft Skills under the National
CCP 105,Carpentry Basics,4,Description This course is the curriculum for Carpentry Basics under the National Center for
CCP 110,"Floors, Walls, & Ceiling Framing",4,Description This course is the floor and wall framing curriculum under the National Center for
CCP 115,Roof Framing,3,Description This course covers the various kinds of roofs and instruction for laying out rafters for
CCP 120,"Windows, Doors, & Stairs",3,"Description This course is the curriculum for Windows, Doors, & Stairs under the National Center"
CCP 124,Exterior Envelope,3,Course Information
CCP 125,Commercial Drawings,2,Description This course is the curriculum for Commercial Drawings under the National Center for
CCP 128,Interior Systems,2,Description This course is the curriculum for Interior Systems under the National Center for
CCP 130,Roofing Applications,3,Description This course is the curriculum for Roofing Applications under the National Center for
CCP 134,Introduction to Concrete Construction,3,Description This course is the curriculum for Intro to Concrete Construction under the National
CCP 135,Thermal and Moisture Protection,1,Description This course is the curriculum for Thermal and Moisture Protection under the National
CCP 138,Advanced Framing,3,Description This course is the curriculum for Advanced Framing under the National Center for
CCP 140,Exterior Finishing,2,Description This course is the curriculum for Exterior Finishing under the National Center for
CCP 144,Advanced Finish and Trim,3,Description This course is the curriculum for Advanced Finish under the National Center for
CCP 145,Cold-Formed Steel Framing,1,Description This course is the curriculum for Cold-Formed Steel Framing under the National
CCP 147,Carpentry Blue Print Reading,2,Description This course is designed to give students knowledge of blueprint reading as it relates
CCP 148,Vertical and Horizontal Formwork,3,Description This course is the curriculum for Vertical and Horizontal Formwork under the
CCP 150,Drywall Installation and Finishing,2,Description This course is the curriculum for Drywall Installation and Finishing under the National
CCP 153,Carpentry Technical Drafting,1,"Description This course includes instruction in sketching and lettering, use of drafting equipment"
CCP 154,Finishing Concrete,2,Description This course is the curriculum for Finishing Concrete under the National Center for
CCP 155,FEMA Doors & Hardware,1,Description This course is the curriculum for Doors and Door Hardware under the National
CCP 170,Suspended Ceilings,1,Description This course is the curriculum for Suspended Ceilings under the National Center for
CCP 175,"Window, Door, Floor, and Ceiling Trim",2,"Description This course is the curriculum for Window, Door, Floor, and Ceiling Trim under the"
CCP 180,Cabinet Installation,1,Description This course is the curriculum for Cabinet Installation under the National Center for
CCP 185,Carpentry Internship I,3,Description In this course students will have the opportunity to link classroom/ lab theory with an
CCP 187,Carpentry Internship II,3,Description This course is a continuation of Carpentry Internship I in which students continue their work in experiential
CED 108,Word Processing,3,Description Emphasizes an intensive use of word processing software to create and revise
CED 115,Computer Applications,3,Description This course introduces students to the fundamental concepts and operations
CED 116,Advanced Word,2,Description Upon completion of this course students should understand the basic concepts of
CED 117,Advanced Excel,2,Description Upon completion of this course students should understand the basic concepts of
CED 118,Advanced PowerPoint,2,Description Upon completion of this course students should understand the basic essentials of
CED 120,Advanced Computer Applications,3,Description This course enhances computer literacy and meets the needs of students in
CFT 101,Introduction to Composites,2,Description This course provides students with the fundamentals of composite theory in an
CFT 106,Composite Finish Trim,2,Description This course provides students with an understanding of the processes and
CFT 107,Composite Assembly,2,Description Composite Assembly teaches the fundamentals of joining composite structures.
CFT 112,Composite Assembly I,1,Description Composite Assembly teaches the fundamentals of joining composite structures.
CFT 113,Composite Assembly II,1,Description Composite Assembly II continues the topics learned in Composite Assembly I. In
CFT 130,Composite Fabrication Methods /Applications,2,Description Fundamentals of composite structure fabrication methods and applications will be
CFT 135,Overview of Composite Inspection,1,Description This course is designed to provide students with an understanding of the inspection
CFT 140,Composite Inspection,2,Description This course is designed to provide students with an understanding of the inspection
CFT 141,Disassemble & Damage Removal Techniques,3,Description This course provides student with the knowledge required to safely and effectively
CFT 142,Composite Repair,4,Description This course is designed to provide students with the knowledge and techniques used
CFT 143,Complex Composite Repairs,3,Description This course is designed to provide the student with hands on experience working
CFT 144,Electrical Bonding Repair,1,Description This course will provide students with the knowledge and skills used in electrical
CHM 110,General Chemistry,5,"Description An introduction to chemistry that includes the study of matter, atoms, molecules,"
CHM 125,Chemistry I,5,"Description An introduction to inorganic chemistry with emphasis on atomic structure, molecular"
CHM 135,Chemistry II,5,"Description A continuation of CHM 125 Chemistry I. A presentation of the properties of solutions,"
CLD 118,Cloud Fundamentals,3,Description This course covers cloud services from a business perspective. This includes the
CLD 121,Object-Oriented Programming (JavaScript),3,Description JavaScript is a scripting language of the web. As the web evolves from a static to a
CLD 122,Introduction to Web Development,3,Description This course introduces students to basic web design using HTML (Hypertext Markup
CLD 123,DevNet I,3,Description The DevNet I course introduces the methodologies and tools of modern software
CLD 126,Test Driven Development (JavaScript),3,Description Programmers shouldn’t have to guess whether the software is working correctly.
CLD 129,Programming Foundations (Swift iOS),3,Description Programming Foundations (Swift iOS) will introduce students to the basics of
CLD 131,Continuous Integration Continuous Deployment - CICD,3,"Description Continuous delivery (CD) answers two difficult questions: ""How do we release"
CLD 137,C# Programming Language,3,Description C# is one of the most widely used general-purpose programming languages. As a
CLD 138,Object-Oriented Programming (Python),3,"Description Python is an interpreted, object-oriented, high-level programming language with"
CLD 141,Test Driven Development (Python),3,Description Programmers shouldn’t have to guess whether software is working correctly. They
CLD 143,Web Application Development I (HTML/CSS),3,Description CSS is a stylesheet language that allows you to control the appearance of your
CLD 147,Website Production & Management (Word Press),3,"Description This course is designed to teach students the necessary skills to build, customize,"
CLD 152,Web Application Development II (REACT),3,Description React is a JavaScript library for building user interfaces to fetch rapidly changing
CLD 153,Multi-Cloud Administration,3,"Description Cloud administrators must have an understanding of cloud services and architecture,"
CLD 156,Advanced Web Development (PHP),3,Description This course is designed to provide students with advanced skills in the area of Web
CLD 158,Multi-Cloud Development Services,3,"Description Cloud computing impacts all careers, and an awareness of the opportunities"
CLD 166,Cloud Application Development I (REACT on AWS),3,"Description Traditionally, companies have built and deployed web applications where they have"
CLD 168,AWS Cloud Practitioner,3,"Description To date, when it comes to market share Amazon Web Services currently holds"
CLD 169,Machine Learning and AI Foundations with Predictive Analytics,3,Description There is a lot to learn to stay on top of a rapidly expanding universe of AI and
CLD 170,Cloud Application Development II (Serverless REACT on AWS),3,Description Traditionally companies have built and deployed web applications where they have
CLD 175,Information Technology Internship,3,"Description In this course, students will have the opportunity to link classroom/lab theory with an"
CLD 177,AWS Solutions Architect Associate,3,"Description AWS certification is one of the most in-demand in the market, as it allows students to"
CLD 182,Microsoft Azure Administrator,3,Description Microsoft Azure is one of the leading enterprise-grade cloud computing platforms. In
CLD 185,Virtual Private Cloud Administration,3,"Description Most leading private clouds provide similar features. So, how can IT professionals"
CLD 187,Cloud Native Infrastructure (Kubernetes),3,Description Container technology caught the public’s attention with the introduction of Docker in
CLD 188,Cloud Data and DevOps Specialist (AWS),3,Description Amazon Web Services (AWS) is one of the most widely used cloud platforms and
CLD 191,Microsoft Enterprise O365 Administration,3,Description Microsoft 365 offers enterprises a complete business solution around cloud-based
CLD 193,Cloud DevOps Engineer I,3,Description DevOps is not a framework or a workflow. It's a culture that is overtaking the
CLD 196,Cloud DevOps Engineer II,3,Description DevOps is not a framework or a workflow. It's a culture that is overtaking the
CNU 010,Certified Nurse Aide Update,1,Description This course is for students who originally certified as a Nursing Assistant in the State
CPR 001,CPR for Healthcare Providers,1,Description Designed for practitioners whose primary work environment is in a clinical setting or
CWG 103,Blue Print Reading for Welders,2,Description Blue Print Reading for Welders gives instruction in the universal language of drawing
CWG 105,Welding Safety & Orientation,1,Description The primary purpose of this course is to introduce and familiarize new students with
CWG 110,Welding Applications,4,"Description In this course student will learn the basic elements of SMAW, GMAW and GTAW."
CWG 115,SMAW,3,"Description Through classroom and/or lab/shop learning and assessment activities, students in"
CWG 116,SMAW II,4,Description This course is designed to give students learning opportunities in the form of
CWG 120,GMAW,3,"Description Through classroom and/or shop/lab learning and assessment activities, students in"
CWG 121,GMAW II,4,"Description Through classroom and/or shop/lab learning and assessment activities, students in"
CWG 125,GTAW,3,"Description Through classroom and/or lab/shop learning and assessment activities, students in"
CWG 126,GTAW II,4,"Description Through classroom and/or shop/lab learning and assessment activities, students in"
CWG 130,Robotic Welding,1,Description This course is designed to give students learning Robotic Welding opportunities in
CWG 141,Oxy Acetylene Welding & Cutting,2,Description The Oxy-Acetylene Welding and Cutting Course is designed to introduce students to
CWG 145,Fabrication & Design,2,Description This course is designed to provide students with the opportunity to apply fabrication
CWG 149,Materials & Testing,2,Description Provides knowledge and skills in the areas of metallurgy and weld testing. Teaches
CWG 155,Flux Cored Arc Welding,4,"Description Through classroom and/or shop/lab learning and assessment activities, students in"
CWG 160,Welding Internship,4,Description The internship represents an educational strategy linking the classroom with the
CWG 242,SMAW D1.1 Qualification,4,Description Assists students in preparing to take the shielded metal arc welding (SMAW)
CWG 243,GMAW D1.1 Qualification,4,Description Assists students in preparing to take the gas metal arc welding (GMAW) qualification
ENG 010,College Reading Skills,3,Description This course is designed to equip students for success in the writing required during
ENG 020,Basic Writing Skills,3,"Description Enables students to construct complete simple, compound and complex sentences"
